datetime,symbol,contract_month,session,open,high,low,close,volume,open_interest
2025-09-30,TMF,202510,regular,25787,26045,25787,25956,65072,42682
2025-10-01,TMF,202510,regular,26097,26375,26000,26050,89888,41653
2025-10-02,TMF,202510,regular,26455,26526,26380,26432,60555,42216
2025-10-03,TMF,202510,regular,26465,26764,26388,26748,74068,41184
2025-10-07,TMF,202510,regular,27217,27358,26997,27323,71353,37611
2025-10-08,TMF,202510,regular,27059,27125,26909,27093,59899,38866
2025-10-09,TMF,202510,regular,27433,27455,27275,27330,63447,34847
2025-10-13,TMF,202510,regular,26402,26943,26392,26911,83447,34454
2025-10-14,TMF,202510,regular,27261,27449,26715,26719,98699,26306
2025-10-15,TMF,202510,regular,26841,27189,26772,27158,41686,8674
2025-10-16,TMF,202511,regular,27527,27877,27450,27825,102900,39105
2025-10-17,TMF,202511,regular,27306,27545,27227,27324,81729,30257
2025-10-20,TMF,202511,regular,27442,27822,27434,27782,83704,36004
2025-10-21,TMF,202511,regular,27905,28035,27796,27831,79520,37634
2025-10-22,TMF,202511,regular,27692,27795,27526,27706,91721,32627
2025-10-23,TMF,202511,regular,27388,27629,27314,27557,70761,37072
2025-10-27,TMF,202511,regular,28234,28287,28080,28220,67084,34742
2025-10-28,TMF,202511,regular,28262,28262,27983,28004,70454,34974
2025-10-29,TMF,202511,regular,28210,28444,28210,28414,64761,38941
2025-10-30,TMF,202511,regular,28426,28551,28182,28400,102137,34515
2025-10-31,TMF,202511,regular,28431,28588,28378,28436,86229,34626
2025-11-03,TMF,202511,regular,28377,28582,28230,28342,90450,37554
2025-11-04,TMF,202511,regular,28430,28593,28111,28115,110865,37019
2025-11-05,TMF,202511,regular,27728,27849,27414,27805,134498,40108
2025-11-06,TMF,202511,regular,28021,28141,27902,28031,78506,37267
2025-11-07,TMF,202511,regular,27770,27838,27596,27734,89764,42242
2025-11-10,TMF,202511,regular,27752,28038,27718,28020,94490,42730
2025-11-11,TMF,202511,regular,28154,28180,27760,27780,86633,44329
2025-11-12,TMF,202511,regular,27895,28079,27858,28052,67897,43580
